"Borough","month","count"
"Bronx","January",410
"Bronx","February",292
"Bronx","March",364
"Bronx","April",475
"Bronx","May",571
"Bronx","June",678
"Bronx","July",710
"Bronx","August",725
"Bronx","September",563
"Bronx","October",512
"Bronx","November",462
"Bronx","December",454
"Brooklyn","January",530
"Brooklyn","February",408
"Brooklyn","March",562
"Brooklyn","April",643
"Brooklyn","May",827
"Brooklyn","June",870
"Brooklyn","July",1065
"Brooklyn","August",1031
"Brooklyn","September",872
"Brooklyn","October",723
"Brooklyn","November",603
"Brooklyn","December",634
"Manhattan","January",182
"Manhattan","February",131
"Manhattan","March",153
"Manhattan","April",192
"Manhattan","May",233
"Manhattan","June",278
"Manhattan","July",292
"Manhattan","August",283
"Manhattan","September",238
"Manhattan","October",229
"Manhattan","November",198
"Manhattan","December",220
"Queens","January",201
"Queens","February",194
"Queens","March",214
"Queens","April",225
"Queens","May",278
"Queens","June",332
"Queens","July",353
"Queens","August",358
"Queens","September",281
"Queens","October",276
"Queens","November",214
"Queens","December",242
"Staten Island","January",46
"Staten Island","February",29
"Staten Island","March",35
"Staten Island","April",47
"Staten Island","May",60
"Staten Island","June",52
"Staten Island","July",76
"Staten Island","August",62
"Staten Island","September",55
"Staten Island","October",48
"Staten Island","November",54
"Staten Island","December",55
