"longitude","latitude","Shootings"
-74.171253433,40.6389853750001,29
-74.118651775,40.636818411,12
-74.081656681,40.6154918230001,22
-74.0774831589999,40.644726131,11
-74.000371106,40.5791618100001,17
-73.988494516,40.6835494530001,14
-73.983807004,40.7014073020001,12
-73.981488084,40.592335711,13
-73.9751266229999,40.6951417660001,11
-73.960149357,40.689622026,20
-73.959004621,40.690504753,15
-73.958988452,40.6651260030001,11
-73.958614955,40.6890489420001,14
-73.957112791,40.6650226040001,11
-73.952585806,40.8087499040001,15
-73.95177383,40.657757416,10
-73.95130203,40.6974002580001,12
-73.951016511,40.648850747,10
-73.9508216739999,40.6488668750001,27
-73.950335563,40.648650085,34
-73.949680547,40.6893298100001,12
-73.949389584,40.6878631160001,14
-73.949097282,40.686396207,13
-73.947739291,40.664527498,11
-73.947710001,40.789260224,12
-73.946805307,40.6647567310001,10
-73.94655662,40.6967793360001,16
-73.946176442,40.7888442490001,10
-73.946040475,40.6867492330001,11
-73.9457938049999,40.6957782540001,12
-73.945420411,40.815732053,22
-73.945166453,40.8159304100001,12
-73.9450143299999,40.7562744050001,11
-73.944952632,40.8137384770001,11
-73.9445290319999,40.688872153,26
-73.943834191,40.8288510450001,10
-73.9437454229999,40.6971688250001,11
-73.943640752,40.689273444,21
-73.9434221189999,40.7554424910001,14
-73.9427503859999,40.7970890990001,14
-73.94197603,40.8096294540001,10
-73.9411986869999,40.79634158,10
-73.941130664,40.7867308670001,12
-73.941109286,40.800694331,16
-73.940954259,40.800880121,11
-73.940369421,40.687400633,10
-73.9400784439999,40.6859357170001,11
-73.9399954209999,40.7887200850001,17
-73.939094779,40.695791458,16
-73.938861972,40.6928199500001,12
-73.938424772,40.6803340050001,10
-73.937490125,40.6877322940001,10
-73.9367659819999,40.8066172090001,11
-73.936759681,40.829883383,16
-73.936715635,40.8111313090001,12
-73.935108735,40.670817975,14
-73.934612439,40.6760524970001,13
-73.9345398,40.6768284980001,11
-73.930573469,40.674601233,23
-73.930221541,40.6745833080001,17
-73.930036368,40.680346195,19
-73.927257702,40.6814119740001,11
-73.927012027,40.662519344,11
-73.926714754,40.6712535570001,12
-73.925622451,40.81027601,17
-73.9253107449999,40.810396019,15
-73.924393112,40.689615497,16
-73.924126473,40.659930993,10
-73.924052543,40.689648511,24
-73.9239732409999,40.817708757,10
-73.922375949,40.852141316,16
-73.92161996,40.812699437,17
-73.921497479,40.675727447,12
-73.920193006,40.837549214,16
-73.9198307569999,40.8373235110001,31
-73.9196277519999,40.837842121,12
-73.9189114979999,40.8065385740001,11
-73.918597457,40.6978068280001,14
-73.918083362,40.697963515,19
-73.9171713,40.824143613,14
-73.916478608,40.8055029760001,16
-73.915729292,40.6701671660001,19
-73.9135635869999,40.6711117780001,10
-73.91339092,40.670655072,37
-73.9133421889999,40.8328445930001,11
-73.912845386,40.670365686,25
-73.9113071689999,40.8225699160001,17
-73.91097206,40.6630544750001,13
-73.910177977,40.672573696,10
-73.909530956,40.671191279,12
-73.909162476,40.6672978620001,11
-73.9084238849999,40.6642395490001,14
-73.908048013,40.8350936040001,17
-73.907530425,40.66276879,27
-73.907294863,40.667574668,23
-73.907144875,40.8366536350001,10
-73.9065912739999,40.66451547,12
-73.906378643,40.8322260940001,13
-73.90298906,40.82308999,10
-73.900592036,40.853586372,12
-73.900504632,40.8439012550001,16
-73.900387941,40.844139215,14
-73.900120875,40.853960274,18
-73.896903366,40.668331961,10
-73.8965114819999,40.666794619,11
-73.895296414,40.816391847,12
-73.894027641,40.6529010140001,10
-73.890767543,40.6726575170001,11
-73.888443556,40.8326306810001,12
-73.886464631,40.8359408480001,10
-73.886184971,40.6583801720001,15
-73.88509138,40.6569063370001,12
-73.88503558,40.8462729280001,12
-73.8815101449999,40.6714126050001,40
-73.881432957,40.671106911,38
-73.879631731,40.86905819,24
-73.8788757199999,40.827314249,11
-73.877397037,40.825063218,10
-73.871673928,40.6728147150001,10
-73.870169773,40.8233867320001,11
-73.869690461,40.823101299,14
-73.867625857,40.816367217,10
-73.866978721,40.667134892,15
-73.866536496,40.8231793040001,10
-73.865256651,40.8233491460001,10
-73.864249619,40.667532399,14
-73.863640875,40.6694055070001,13
-73.847607787,40.887451313,39
-73.8472482029999,40.887333502,18
-73.844996245,40.8861417910001,10
-73.840080724,40.682396919,10
-73.826946987,40.8308000690001,10
-73.810560231,40.587662714,15
-73.808078548,40.589894069,10
-73.792757959,40.7067648550001,14
-73.792611904,40.707047475,24
-73.788691266,40.5899191940001,10
-73.776047368,40.679700408,34
-73.775909197,40.6800477400001,29
-73.772464836,40.596462241,13
-73.756150955,40.6066642580001,12
-73.7506151919999,40.609777213,20
-73.749976261,40.6029515910001,12
-73.735848117,40.72642219,11
-73.735233904,40.72618713,22
